ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13783086,JJ190872,01/01/2025 12:01:00 AM,020XX N ELSTON AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,1432,014,32,22,06,1165443,1913413,2025,03/25/2025 03:50:10 PM,41.918001743,-87.667579346,"(41.918001743, -87.667579346)"
13708010,JJ100005,01/01/2025 12:02:00 AM,0000X W ONTARIO ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1832,018,42,8,08B,1175651,1904471,2025,01/09/2025 03:41:07 PM,41.893240902,-87.630344179,"(41.893240902, -87.630344179)"
13708474,JJ100040,01/01/2025 12:03:00 AM,035XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1924,019,44,6,08B,1168657,1923609,2025,01/09/2025 03:41:07 PM,41.945910991,-87.655474824,"(41.945910991, -87.655474824)"
13707950,JJ100041,01/01/2025 12:09:00 AM,081XX W BERWYN AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1614,016,41,10,08A,1121062,1934054,2025,01/09/2025 03:41:07 PM,41.97547293,-87.830195387,"(41.97547293, -87.830195387)"
13708185,JJ100393,01/01/2025 12:15:00 AM,032XX W WARNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1724,017,33,16,08B,1154064,1927407,2025,01/09/2025 03:41:07 PM,41.956637119,-87.709012079,"(41.956637119, -87.709012079)"
13709607,JJ101723,01/01/2025 12:18:00 AM,061XX N MONTICELLO AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,false,false,1711,017,50,13,06,1150935,1940494,2025,01/09/2025 03:41:07 PM,41.99261065,-87.720170843,"(41.99261065, -87.720170843)"
13707818,JJ100004,01/01/2025 12:22:00 AM,071XX S VINCENNES AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,GAS STATION,false,false,0731,007,6,69,04A,1176589,1857611,2025,01/09/2025 03:41:07 PM,41.764632089,-87.628311641,"(41.764632089, -87.628311641)"
13709155,JJ101466,01/01/2025 12:30:00 AM,0000X W 37TH ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0213,002,3,35,08B,1176453,1880461,2025,01/09/2025 03:41:07 PM,41.827337788,-87.628123054,"(41.827337788, -87.628123054)"
13707905,JJ100146,01/01/2025 12:30:00 AM,005XX E 47TH ST,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,false,false,0221,002,3,38,06,1180501,1873969,2025,01/09/2025 03:41:07 PM,41.80943109,-87.613471234,"(41.80943109, -87.613471234)"
13707915,JJ100026,01/01/2025 12:30:00 AM,014XX N HAMLIN AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,true,true,2535,025,26,23,04B,1150775,1909386,2025,01/09/2025 03:41:07 PM,41.907251095,-87.721576132,"(41.907251095, -87.721576132)"
13708155,JJ100454,01/01/2025 12:30:00 AM,006XX N CLARK ST,0810,THEFT,OVER $500,RESTAURANT,false,false,1832,018,42,8,06,1175423,1904628,2025,01/09/2025 03:41:07 PM,41.893676841,-87.631176812,"(41.893676841, -87.631176812)"
13707940,JJ100050,01/01/2025 12:30:00 AM,033XX N HALSTED ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1924,019,44,6,08B,1170327,1922601,2025,01/09/2025 03:41:07 PM,41.943108594,-87.649366085,"(41.943108594, -87.649366085)"
13708269,JJ100585,01/01/2025 12:30:00 AM,023XX S ST LOUIS AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1024,010,22,30,06,1153405,1888131,2025,01/09/2025 03:41:07 PM,41.848873261,-87.712479744,"(41.848873261, -87.712479744)"
13707993,JJ100213,01/01/2025 12:30:00 AM,130XX S EVANS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0533,005,10,54,07,1183710,1819191,2025,01/09/2025 03:41:07 PM,41.659039755,-87.603405254,"(41.659039755, -87.603405254)"
13708836,JJ101101,01/01/2025 12:30:00 AM,122XX S ADA ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,false,0524,005,21,53,02,1169548,1823602,2025,01/10/2025 03:41:24 PM,41.671461741,-87.65510074,"(41.671461741, -87.65510074)"
